anagram, m60, t100, w4, 6164, 97, 5002, 0.866667, 1370, 37, a2, 111010
dictionaryOrder, m71, t100, w8, 6244, 40, 5003, 0.887324, 8248, 32, a2, 110011
mergeSort, m226, t50, w8, 17543, 21, 10557, 0.933628, 1900, 129, a2, 110010
factorial, m31, t100, w8, 5672, 38, 5079, 0.967742, 403, 18, a2, 101010
selectSort, m92, t50, w8, 7950, 21, 5889, 0.880435, 1900, 45, a2, 100010
transpose, m149, t50, w8, 13978, 20, 10129, 0.899329, 903, 40, a2, 100011
factorial, m31, t100, w4, 7705, 99, 7041, 0.967742, 403, 18, a3, 111010
parg, m2509, t52, w8, 433589, 20, 827, 1.000000, 418, 2518, a3, 101010
parg, m2509, t52, w4, 428729, 55, 2569, 1.000000, 418, 2518, a3, 110010
anagram, m60, t100, w8, 6096, 38, 5002, 0.866667, 1370, 37, a3, 100010
insertSort, m108, t50, w8, 8716, 23, 6263, 0.944444, 1900, 40, a3, 111011
squareMatrix, m182, t50, w8, 15141, 20, 10447, 1.000000, 903, 72, a3, 110010
selectSort, m92, t50, w4, 17141, 50, 15008, 0.880435, 1900, 45, a3, 101011
massive, m49, t60, w2, 108475, 108138, 150, 1.000000, 169, 13, a4, 000000
add, m12, t100, w8, 316, 40, 69, 0.916667, 583, 13, a4, 100010
bubbleSort, m113, t50, w8, 48097, 23, 45538, 0.893805, 1900, 41, a4, 101010
add, m12, t100, w2, 1037, 304, 411, 0.916667, 583, 13, a4, 101011
add, m12, t100, w4, 431, 97, 109, 0.916667, 583, 13, a4, 101011
dictionaryOrder, m71, t100, w2, 23276, 314, 20751, 0.843750, 8248, 32, a5, 011111
insertSort, m108, t50, w4, 14563, 51, 11987, 0.920000, 1900, 40, a5, 101111
insertSort, m108, t50, w2, 28503, 158, 24397, 0.920000, 1900, 40, a5, 011111
primes, m68, t100, w2, 5554, 325, 3168, 0.833333, 398, 30, a5, 011111
massive, m49, t60, w8, 67897, 19252, 46862, 1.000000, 169, 13, a5, 110001
squareMatrix, m182, t50, w2, 63215, 159, 55265, 1.000000, 903, 72, a5, 111111
quickSort, m127, t50, w8, 16036, 116, 10948, 0.941860, 1900, 56, a5, 011111
mergeSort, m226, t50, w4, 23938, 48, 16742, 0.907975, 1900, 129, a5, 101111
parg, m2509, t52, w2, 437414, 176, 8666, 1.000000, 418, 2518, a5, 110011
genPassword, m49, t100, w2, 6537, 315, 4498, 0.789474, 398, 63, a5, 000111
quickSort, m127, t50, w2, 53761, 161, 39889, 0.941860, 1900, 56, a5, 110101
squareMatrix, m182, t50, w4, 27730, 47, 22672, 1.000000, 903, 72, a5, 111111
bubbleSort, m113, t50, w4, 76996, 161, 74161, 0.869565, 1900, 41, a5, 001111
primes, m68, t100, w4, 2546, 99, 1164, 0.833333, 398, 30, a5, 111111
anagram, m60, t100, w2, 8792, 318, 6563, 0.885714, 1370, 37, a5, 010111
genPassword, m49, t100, w4, 2866, 98, 1639, 0.789474, 398, 63, a5, 110111
quickSort, m127, t50, w4, 21859, 160, 16802, 0.941860, 1900, 56, a5, 010111
transpose, m149, t50, w2, 56924, 159, 50219, 0.866667, 903, 40, a5, 000111
bubbleSort, m113, t50, w2, 150441, 160, 146110, 0.869565, 1900, 41, a5, 001111
massive, m49, t60, w4, 97425, 38521, 56971, 1.000000, 169, 13, a5, 110000
primes, m68, t100, w8, 1668, 39, 418, 0.833333, 398, 30, a5, 101111
genPassword, m49, t100, w8, 1882, 37, 742, 0.810811, 398, 63, a5, 110111
transpose, m149, t50, w4, 21116, 52, 16770, 0.867925, 903, 40, a5, 101111
mergeSort, m226, t50, w2, 60647, 163, 49597, 0.907975, 1900, 129, a5, 111111
selectSort, m92, t50, w2, 31891, 158, 28336, 0.873016, 1900, 45, a5, 110111
factorial, m31, t100, w2, 8726, 319, 7410, 0.956522, 403, 18, a5, 010111
dictionaryOrder, m71, t100, w4, 10780, 97, 9129, 0.843750, 8248, 32, a5, 110111